acoustic scale,2,2,2,1,2,1,2
adonai malakh mode,2,2,1,2,2,1,2
aeolian mode,2,1,2,2,1,2,2
altered scale,1,2,1,2,2,2,2
augmented scale,3,1,3,1,3,1
augmentedfifth,2,2,1,2,1,1,2,1
bebop dominant scale,2,2,1,2,2,1,1,1
blues scale,3,2,1,1,3,2
bluesmajor,3,2,1,1,2,3
bluesminor,3,2,1,1,3,2
chromatic scale,1,1,1,1,1,1,1,1,1,1,1,1
diminished,2,1,2,1,2,1,2,1
dorian mode,2,1,2,2,2,1,2
double harmonic scale,1,3,1,2,1,3,1
enigmatic scale,1,3,2,2,2,1,1
flamenco mode,1,3,1,2,1,3,1
gypsy scale,2,1,3,1,1,2,2
half diminished scale,2,1,2,1,2,2,2
halfwhole,1,2,1,2,1,2,1,2
harmonic major scale,2,2,1,2,1,3,1
harmonicminor,2,1,2,2,1,3,1
hirajoshi scale,4,2,1,4,1
hungarian gypsy scale,2,1,3,1,1,3,1
hungarian minor scale,2,1,3,1,1,3,1
in scale,1,4,2,1,4
insen scale,1,4,2,3,2
ionian mode,2,2,1,2,2,2,1
istrian scale,1,2,1,2,1,5
iwato scale,1,4,1,4,2
japanese,1,4,2,1,4
locrian mode,1,2,2,1,2,2,2
lydian augmented scale,2,2,2,2,1,2,1
lydian mode,2,2,2,1,2,2,1
major locrian scale,2,2,1,1,2,2,2
major pentatonic scale,2,2,3,2,3
major scale,2,2,1,2,2,2,1
melodic minor scale,2,1,2,2,2,2,1
melodicminor,2,1,2,2,2,2,1
minor,2,1,2,2,1,2,2
minor pentatonic scale,3,2,2,3,2
mixolydian mode,2,2,1,2,2,1,2
natural minor scale,2,1,2,2,1,2,2
neapolitan major scale,1,2,2,2,2,2,1
neapolitan minor scale,1,2,2,2,1,3,1
octatonic scale,2,1,2,1,2,1,2,1
octatonic scale 1,1,2,1,2,1,2,1,2
oriental,1,3,1,1,3,1,2
pentatonicmajor,2,2,3,2,3
pentatonicminor,3,2,2,3,2
persian scale,1,3,1,1,2,3,1
phrygian dominant scale,1,3,1,2,1,2,2
phrygian mode,1,2,2,2,1,2,2
prometheus scale,2,2,2,3,1,2
scale of harmonics,3,1,1,2,2,3
super locrian scale,1,2,1,2,2,2,2
tritone scale,1,3,2,1,3,2
two-semitone tritone scale,1,1,4,1,1,4
ukrainian dorian scale,2,1,3,1,2,1,2
vietnamese scale of harmonics,3,1,0,3,4,1
whole tone scale,2,2,2,2,2,2
wholehalf,2,1,2,1,2,1,2,1
wholetone,2,2,2,2,2,2
yo scale,3,2,2,3,2
